CZASY  OPERACJI W NANOSEKUNDACH
Wstawianie na koniec:
wielkosc struktury	[1,100]	[~INT_MAX/2]	[~INT_MAX]	[1,INT_MAX]
131072		199096	239876	309775	368701
262144		552036	773188	812622	622876
524288		389616	-18310	1250929	1921178
1048576		1855299	2200970	2288699	3200992
2097152		-878055	7265752	2077228	7096899
4194304		15202521	10491072	11568035	14581942
8388608		16633947	18475251	15950088	13608947
16777216		39614508	52056690	70205312	38176685
33554432		52233131	120737427	76300591	78823724
67108864		157679834	163895677	147664713	155483870
134217728		197395066	334778949	295206838	276436345
Wyszukiwanie - klucz poza przedziałem:
wielkosc struktury	[1,100]	[~INT_MAX/2]	[~INT_MAX]	[1,INT_MAX]
16		15	43	35	19
32		-11	133	106	80
64		85	36	273	187
128		299	146	152	248
256		561	735	596	218
512		-37	1243	1548	1625
1024		1041	1974	1481	2258
2048		3396	3712	1837	1467
4096		8495	12479	7902	4189
8192		3517	27680	25592	14850
16384		12882	20350	58368	16930
32768		48483	42447	45667	117400
65536		182798	134678	27148	77386
131072		327510	407026	321559	-13440
262144		43523	1183656	782279	582672
524288		943160	399976	1924883	1863544
1048576		1781031	2351818	933665	1785409
2097152		230091	8539300	2222689	3092801
4194304		11177237	10558187	15486735	11988966
8388608		15173523	15798959	20351226	19713025
16777216		39974736	43033801	27422699	34983205
33554432		51409770	68009899	66518285	59162176
67108864		113677887	140830154	120038868	134434408
134217728		254900815	266834348	323296577	234211890
Usuwanie z końca:
wielkosc struktury	[1,100]	[~INT_MAX/2]	[~INT_MAX]	[1,INT_MAX]
16		24	65	125	-60
32		40	104	44	80
64		185	163	233	64
128		207	374	338	532
256		41	689	437	720
512		2862	959	1716	830
1024		1771	4852	2726	3433
2048		1924	5541	10573	6176
4096		9803	5002	10635	20451
8192		16196	29844	16824	-34508
16384		16172	33754	82737	43384
32768		71805	-117630	67361	86089
65536		140449	255437	84717	156055
131072		348026	545729	667247	215163
262144		556519	424958	689958	2552084
524288		-797278	1405095	281968	1754403
1048576		3523856	1695669	3156548	-100230
2097152		3794260	2579628	6605180	1564815
4194304		13209241	11718419	12693672	12478124
8388608		19236001	30915363	26922454	6313851
16777216		57849421	59760548	56529476	45536991
33554432		77082092	92868974	83668781	99106758
67108864		187178533	187962738	221751624	142151380
134217728		372993122	355768761	391983486	322772319
Usuwanie z środka:
wielkosc struktury	[1,100]	[~INT_MAX/2]	[~INT_MAX]	[1,INT_MAX]
16		36	37	51	28
32		56	131	76	113
64		161	108	193	148
128		327	79	295	341
256		473	850	634	622
512		1766	48	2094	540
1024		1663	3658	2364	2626
2048		3068	6653	4898	4939
4096		10499	3650	15479	6624
8192		14889	31580	21987	30482
16384		6018	42066	24499	40341
32768		97114	46636	82553	68199
65536		155970	217568	6957	176141
131072		149643	232227	446341	63468
262144		564914	763046	568783	1051248
524288		564010	1371794	1072668	1091681
1048576		3001280	2281928	2455349	4219716
2097152		3911493	6347200	5565675	3056132
4194304		10886408	6226586	33102609	27173536
8388608		20056268	28815960	33493403	19771562
16777216		49224445	53658638	56704900	51120994
33554432		78692101	76851682	93704399	104135851
67108864		181998501	181588808	152214725	155090963
134217728		315770042	340444793	378090897	325121091
Usuwanie z początku:
wielkosc struktury	[1,100]	[~INT_MAX/2]	[~INT_MAX]	[1,INT_MAX]
16		-38	-15	-2	25
32		14	-12	-76	-25
64		-41	90	-23	-33
128		-242	213	-109	21
256		-495	94	-39	33
512		-1027	-337	509	593
1024		-768	-1247	-928	2485
2048		1101	17	-2621	452
4096		-1451	1301	-866	-4519
8192		-991	7910	308	-12036
16384		-27423	32605	13762	-710
32768		-49556	138	47134	-15448
65536		12786	-48488	42776	82337
131072		-149901	-102752	-4605	10078
262144		11000	-16563	-260915	92382
524288		145777	205046	-741675	-810014
1048576		-4152152	1452288	1203175	-988060
2097152		-631064	-395652	-570786	-118428
4194304		-2388758	-2968583	1649079	-3783019
8388608		-4759819	-3256459	-10589337	-2899945
16777216		908260	-15061224	-15192212	6678731
33554432		-23586929	-5782840	5389167	2263679
67108864		9799117	-12513067	-30088134	23756585
134217728		-10234702	-24087887	6370948	-20741161
